lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E06000047,526980,39.92,51.4,15221,20.89824857961215,758.03,11.8,72.15306551317967,360.9547576047175,14.639017017987934,1.4711643090315558,FALSE
E06000049,380790,33.92,63.9,22025,30.331255114751187,615.1,10.5,81.80305913513217,292.98238628067804,9.211115226771454,1.5142857142857142,FALSE
E06000050,340502,35.12,57.50000000000001,19372,27.868804322292696,640.79,10.9,86.15073720036693,343.9585319351763,11.294477271212964,1.3847203274215554,FALSE
E06000051,320274,34.43,57.99999999999999,18856,27.058191103346324,688.92,11.8,88.42773577283614,267.63633114531245,11.5494071455694,1.2971768202080238,FALSE
E06000054,498064,26.62,59.599999999999994,20292,28.591489708745783,586.33,9.3,90.02000890175589,268.18711366907655,9.36120866238426,0.8371628371628372,FALSE
E06000055,171623,39.59,59,20136,29.307028547534873,592.98,11.1,63.76303780964798,290.20210503743675,10.4043664226298,0.5865595325054784,FALSE
E06000056,283606,29.37,56.900000000000006,20719,27.583212342429135,586.51,8.4,63.76303780964798,290.20210503743675,10.4043664226298,0.675,FALSE
E07000004,199448,26.89,68.7,26093,26.448947138602314,527.86,7.6,54.85718845272806,281.3394994827679,9.21455466798044,0.5855481727574751,FALSE
E07000008,125758,33.92,62.6,24472,37.352408015285874,845.98,12.3,70.15819966376633,343.4132863646487,8.71007314609836,0.9426433915211969,FALSE
E07000009,89362,32.43,56.2,20406,29.61022932751643,629.73,8.3,70.15819966376633,343.4132863646487,8.71007314609836,0.8634953464322647,FALSE
E07000010,101491,42.62,42.3,19399,23.18353581231614,741.05,10.1,70.15819966376631,343.4132863646487,8.71007314609836,1.0677824267782425,FALSE
E07000011,177352,24.07,55.7,20630,29.4788366178372,664.97,8.1,70.15819966376633,343.4132863646486,8.71007314609836,0.9034188034188034,FALSE
E07000012,157519,21.99,67.10000000000001,21331,31.905983396300634,643.06,8,70.15819966376633,343.4132863646486,8.71007314609836,0.8296703296703297,FALSE
E07000037,92221,31.4,58.9,19188,31.67582785896233,605.05,8.5,80.69896489595027,373.1998869935517,10.985541109314012,1.4340723453908986,TRUE
E07000066,185862,35.8,49,19809,24.76840838487588,726.26,8.4,58.26312332714214,362.4058761029242,8.23255454334587,1.0848356309650053,FALSE
E07000067,151561,34.11,46.7,18938,27.593160525984118,567.18,9,63.8942924547825,273.9948202801992,8.29475161022894,0.8241650294695482,FALSE
E07000068,76550,24.19,69.9,22940,31.660436034009333,510.52,8.4,58.26312332714214,362.4058761029242,8.23255454334587,0.9271604938271604,FALSE
E07000069,90070,32.15,53.400000000000006,19249,26.3578647140291,648.58,10,62.928600242033085,286.9995039937059,9.37363089627338,0.703125,FALSE
E07000070,177079,28.45,65.7,22246,30.45999698550891,582.08,8.1,63.89429245478251,273.9948202801991,8.29475161022894,0.7606589147286822,FALSE
E07000071,192523,29.21,56.60000000000001,19526,28.970583412586492,653.64,10.1,53.0138203658873,361.53726995775025,11.0461066498241,1.2077562326869806,FALSE
E07000072,131137,25.31,57.8,24393,29.225641273368435,510.34,9,77.46901239504197,355.91264908893766,8.67935154270083,0.7214461791290057,FALSE
E07000073,86594,48.42,53.5,22960,25.73572194150972,775.11,8.1,77.46901239504197,355.91264908893766,8.67935154270083,0.8683870967741935,TRUE
E07000074,64425,31.51,52.300000000000004,21234,30.708676425739554,535,9,63.8942924547825,273.9948202801992,8.29475161022894,0.7387127761767532,FALSE
E07000075,86981,20.34,56.50000000000001,19802,28.737401816134227,520.05,8.6,62.92860024203307,286.99950399370584,9.37363089627338,0.7653679653679654,FALSE
E07000076,145803,37.51,44.6,16988,28.52839460464647,764.48,11.4,53.0138203658873,361.53726995775025,11.0461066498241,1.2009512485136742,FALSE
E07000077,89179,30.85,65,23660,28.754930717103267,550.07,9.3,77.46901239504197,355.9126490889377,8.67935154270083,0.6864919354838709,TRUE
E07000078,117090,32.91,62.1,21371,31.50943396226415,775.73,10.4,88.54745718434276,303.38822298432586,9.90392436047781,1.2574257425742574,FALSE
E07000079,89022,25.83,67.60000000000001,21198,33.14349387148694,580.02,10.2,88.54745718434273,303.38822298432586,9.90392436047781,1.1210762331838564,FALSE
